Unnamed: 0,2003,2005,2009,2013,2017,20211)
Baden-Württemberg,25.5,24.545573427487902,22.761149096163884,22.20907737059667,21.227830832196453,17.351354086932318
Bayern,25.2,24.260752688172044,23.490198293881697,22.1482627520119,20.510727611940297,17.023511391589516
Berlin,38.8,32.734530938123754,31.34060241467185,28.852430480003484,25.466611364579016,21.38752689005601
Brandenburg,30.4,29.00801603206413,27.953676158096048,25.765941322940353,24.471126357918813,19.177786629489475
Bremen,33.9,30.78880407124682,30.48299655002464,27.76664439991093,27.388535031847134,22.719054042418847
Hamburg,35.5,29.80072463768116,26.709521147754796,25.636515137487272,23.221586263287,18.731893960098386
Hessen,27.2,25.92071311283134,24.644403947648684,23.374497484412988,21.112662942271882,19.421853900470282
Mecklenburg-Vorpommern,31.3,33.30804248861912,30.442614513638702,28.22234156820623,27.659574468085104,23.89562222663752
Niedersachsen,28.4,28.10550703974336,26.112770386460312,24.685000754489206,22.936824132043256,18.775282568087885
Nordrhein-Westfalen,27.6,28.979901403109594,26.910444493102695,25.923105893140768,22.64088580399934,18.63295792015136
Rheinland-Pfalz,32.1,25.961538461538463,25.144621499804806,23.856245176937488,21.659324522760645,18.932521117760377
Saarland,25.1,26.369426751592357,25.295573274676933,23.5106998264893,20.58823529411765,18.5
Sachsen,24.0,24.477696216826654,23.78071366835412,22.73857581139997,21.44042482575506,21.04380227596579
Sachsen-Anhalt,28.2,27.979539641943735,28.862144420131294,27.84033363121835,24.773960216998194,22.510995601759294
Schleswig-Holstein,34.4,29.526748971193417,27.039100273281477,25.89443119361195,23.49699398797595,19.31629040954591
Thüringen,26.400000000000002,27.2196261682243,26.743974257786416,26.105249937201712,26.244343891402714,23.401163944708657
